Username,Last attempt,High Score,Time(s),New Score,New Time,New State
syahrul,00:37:41 2019-10-15,1552,86,0,0,0 0 0 0;0 0 0 0;0 0 0 0;0 0 0 0;
user1,00:42:16 2019-10-15,1578,0,0,0,0 0 0 0;0 0 0 0;0 0 0 0;0 0 0 0;
